獎品編號,獎別,獎品內容,數量,是否為大獎,抽獎方式
A001,特獎,IPHONE 17 PRO,1,1,2
A002,一獎,聲寶美型透視氣炸鍋,2,1,1
A003,二獎,奇美IH定溫調理電磁鍋,2,1,1
A004,三獎,聲寶微電腦觸控電陶爐,3,,1
A005,四獎,Rasto MIT 行動電源,3,,1
A006,五獎,大家源分離式料理鍋,2,,1
A007,六獎,聲寶日式多功能料理鍋5L,2,,1
A008,七獎,奇美不鏽鋼防燙快煮壺,1,,1
A009,八獎,聲寶雙層不鏽鋼防燙快煮壺,2,,1
A010,九獎,聲寶雙層防燙快煮壺,2,,1
A011,十獎,日式多功能料理鍋3L,1,,1
B001,十一之一,嘉藥隨行保溫杯,5,,1
B002,十一之二,嘉藥隨行保溫杯,5,,1
B003,十一之三,嘉藥隨行保溫杯,5,,1
B004,十一之四,嘉藥隨行保溫杯,5,,1
B005,十一之五,嘉藥隨行保溫杯,5,,1
B006,十一之六,嘉藥隨行保溫杯,5,,1
B007,十一之七,嘉藥隨行保溫杯,5,,1
B008,十一之八,嘉藥隨行保溫杯,5,,1
C001,十二之一,CNU嘉藥面膜,5,,1
C002,十二之二,CNU嘉藥面膜,5,,1
C003,十二之三,CNU嘉藥面膜,5,,1
C004,十二之四,CNU嘉藥面膜,5,,1
C005,十二之五,CNU嘉藥面膜,5,,1
C006,十二之六,CNU嘉藥面膜,5,,1
C007,十二之七,CNU嘉藥面膜,5,,1
C008,十二之八,CNU嘉藥面膜,5,,1
C009,十二之九,CNU嘉藥面膜,5,,1
C010,十二之十,CNU嘉藥面膜,5,,1
